Time            Price           Type
1802              9.270            sell
1802              9.270            sell
1804              9.305            buy
1806              9.305            buy
1810              9.270            sell
1813              9.305            buy
1814              9.270            sell
1814              9.270            sell
1815              9.305            buy
1816              9.270            sell
1822              9.305            buy
1822              9.270            sell
1852              9.210            buy
1854              9.145            sell
1871              9.085            buy
1873              8.990            sell
1878              9.145            buy
1879              9.145            buy
1878              9.145            buy
1883              9.145            buy
1891              8.990            sell
1892              8.990            sell
1893              9.145            buy
1894              9.145            sell
1899              9.115            sell
1903              9.085            sell
1931              9.055            buy
1932              9.115            buy
1932              9.115            buy
1936              9.085            buy
1951              9.055            sell
1951              9.055            sell
1952              9.055            sell
1952              9.115            buy
1955              9.115            buy
1955              9.055            sell
1956              9.055            sell
1960              9.055            sell
1987              8.876            buy
1989              8.879            buy
1991              8.946            buy
1996              8.886            buy
1997              8.858            sell
1998              8.858            sell
1999              8.955            buy
1998              8.955            buy
2011              8.970            sell
2014              9.002            buy
2021              8.981            sell
2023              9.043            buy
2037              9.030            sell
2039              9.032            sell
2040              9.094            buy
2041              9.094            buy
2041              9.065            sell
2042              9.066            buy
2047              9.042            sell
2047              9.042            sell
2048              9.073            buy
2049              9.073            buy
2054              9.019            sell
2054              9.019            sell
2055              9.019            sell
2058              9.023            sell
2073              8.974            buy
2073              8.915            sell
2077              8.979            buy
2078              9.077            buy
2078              9.077            buy
2082              8.984            buy
2090              8.755            sell
2091              8.755            sell
2091              8.755            sell
2095              8.755            sell
2107              8.755            buy
2108              8.880            buy
2108              8.880            buy
2114              8.975            buy
2124              8.880            sell
2126              8.945            sell
2130              8.945            buy
2130              8.945            buy
2142              8.975            sell
2144              8.945            sell
2147              8.945            sell
2150              8.945            sell
2154              8.975            buy
2156              8.945            buy
2156              8.945            sell
2156              8.975            buy
2157              8.975            buy
2160              9.005            buy
2166              8.975            sell
2169              9.005            buy
2173              8.945            sell
2173              8.945            sell
2174              8.945            sell
2177              8.945            sell
2184              9.005            buy
2183              9.005            buy
2184              9.035            buy
2187              9.035            buy
2199              9.036            sell
2202              9.072            sell
2206              9.007            sell
2209              9.008            sell
2220              9.009            buy
2222              8.979            buy
2225              9.010            buy
2228              8.980            sell
2228              9.010            buy
2231              9.010            buy
2231              8.951            sell
2232              8.951            sell
2233              8.951            sell
2234              8.951            sell
2249              8.953            buy
2249              8.918            sell
2252              8.953            buy
2252              8.918            sell
2254              8.954            buy
2255              8.954            buy
2255              8.954            sell
2256              8.984            buy
2256              8.984            buy
2259              8.984            buy
2261              8.919            sell
2261              8.954            sell
2262              8.920            sell
2266              8.955            sell
2267              8.955            buy
2267              8.985            buy
2267              8.985            buy
2269              8.985            buy
2284              8.988            sell
2285              8.988            sell
2287              8.988            sell
2287              9.018            buy
2289              8.988            sell
2292              8.958            sell
2305              8.960            buy
2305              8.925            sell
2329              8.963            buy
2328              8.963            buy
2330              8.899            buy
